id,host_neighbourhood,price,accommodates,room_type,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,city,state,zipcode,country_code,country,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
4454295,Queen Anne,99,2,Entire home/apt,4606439,Nadia,06-01-2013,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,2,1,1,1,Real Bed,0,99,800,2000,500,150,1,0,3,1125,t,21,21,21,229,42373,8,06-05-2015,16-12-2015,97,10,10,9,10,10,9,f,0,WASHINGTON,f,strict,f,f,1,0.98
3883392,0,245,4,Entire home/apt,19932967,Pat & Roberta,13-08-2014,Seattle,1,1,t,0,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,2,3,Real Bed,0,245,1575,5800,300,95,1,0,3,14,t,30,60,90,362,42373,13,09-11-2014,02-10-2015,98,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,0.92
8889257,Queen Anne,165,5,Entire home/apt,25899989,Ellie,10-01-2015,Kirkland,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,5,1,2,3,Real Bed,0,165,0,5000,400,85,4,20,2,1125,t,13,40,63,337,42373,3,16-12-2015,02-01-2016,100,10,10,9,9,10,10,f,0,WASHINGTON,f,strict,f,f,1,3
5680462,Queen Anne,461,16,Entire home/apt,22372266,Sarah,10-10-2014,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,16,3.5,6,15,Real Bed,0,461,0,0,1500,300,8,50,3,29,t,19,40,65,327,42373,18,15-06-2015,15-11-2015,98,9,10,10,10,10,10,f,0,WASHINGTON,t,strict,f,f,1,2.65
8988178,0,109,5,Entire home/apt,2983711,Paige,18-07-2012,Seattle,1,1,f,0,1,1,t,f,Seattle,WA,98119,US,United States,f,House,5,1,2,2,Real Bed,0,109,0,0,0,89,1,0,3,15,t,30,60,69,69,42373,1,25-11-2015,25-11-2015,80,8,10,8,8,8,8,f,0,WASHINGTON,f,strict,f,f,1,0.73
3245876,Queen Anne,66,2,Private room,9465817,Libby,16-10-2013,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,2,1,1,1,Real Bed,0,66,0,0,100,35,1,25,1,10,t,29,59,89,364,42373,84,30-06-2014,02-01-2016,95,10,9,10,10,10,9,f,0,WASHINGTON,f,moderate,f,f,1,4.55
4933447,Queen Anne,99,2,Private room,25417834,Markus And Melissa,31-12-2014,Seattle,1,1,t,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,2,1,1,1,Real Bed,0,99,0,0,100,15,1,0,2,14,t,29,52,82,171,42373,45,16-03-2015,06-11-2015,98,10,10,10,10,10,10,f,0,WASHINGTON,t,moderate,f,f,1,4.58
7735464,Queen Anne,200,2,Private room,6170760,Sam,30-04-2013,Seattle,0,0,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,2,2,1,1,Futon,0,200,0,0,0,0,1,0,1,1125,t,0,0,0,125,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,flexible,f,f,1,0
6291829,Queen Anne,700,10,Entire home/apt,32713558,Kary,05-05-2015,Seattle,0,0,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,10,3.5,5,5,Real Bed,0,700,4100,0,500,250,1,0,3,30,t,24,54,84,359,42373,5,07-07-2015,10-08-2015,85,10,9,9,9,8,8,f,0,WASHINGTON,f,flexible,f,f,1,0.82
9218403,0,110,1,Entire home/apt,14100483,Annie,09-04-2014,Quilcene,1,1,f,0,1,1,t,t,Seattle,WA,98119,US,United States,f,Condominium,1,1,1,1,Real Bed,0,110,750,2500,0,0,1,0,1,1125,t,29,55,85,360,42373,1,03-01-2016,03-01-2016,100,10,10,10,10,10,10,f,0,WASHINGTON,f,flexible,f,f,1,1
4125779,Queen Anne,99,3,Private room,21401856,Nick,16-09-2014,Seattle,1,1,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,3,1.5,1,2,Real Bed,0,99,568,2029,0,15,1,10,1,1125,t,30,60,90,365,42373,11,27-09-2014,18-10-2015,84,9,9,9,9,10,8,f,0,WASHINGTON,f,moderate,f,f,1,0.71
8942678,Queen Anne,450,8,Entire home/apt,46675077,Susanna,16-10-2015,Seattle,1,1,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,8,2,4,4,Real Bed,0,450,3000,0,0,0,1,0,4,1125,t,0,0,0,53,42373,1,01-12-2015,01-12-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,f,flexible,f,f,1,0.86
10106055,Queen Anne,75,2,Private room,51860756,Maggie & Alex,20-12-2015,Seattle,0,0,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,2,1,1,1,Real Bed,0,75,350,0,0,0,1,0,1,1125,t,30,60,90,365,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,flexible,f,f,1,0
6362362,Queen Anne,600,5,Entire home/apt,33147763,Tracy,11-05-2015,Seattle,0,0,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,5,2.5,3,3,Real Bed,0,600,0,0,500,150,1,0,3,1125,t,0,0,0,212,42373,1,20-07-2015,20-07-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,0.18
3544550,Queen Anne,450,8,Entire home/apt,16708587,Jill,12-06-2014,Seattle,0.67,1,f,Queen Anne,2,2,t,t,Seattle,WA,98119,US,United States,t,House,8,2.5,3,5,Real Bed,0,450,0,0,500,200,6,50,4,1125,t,0,3,33,293,42373,8,04-07-2015,02-09-2015,100,10,10,9,10,10,10,f,0,WASHINGTON,f,strict,f,f,2,1.3
9025039,Queen Anne,150,5,Entire home/apt,68155,Lori,06-01-2010,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,5,1,2,3,Real Bed,0,150,0,0,250,35,1,0,1,1125,t,0,0,0,49,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,flexible,f,f,1,0
3200646,Queen Anne,45,2,Private room,4016632,Jean-Marc,30-10-2012,Seattle,1,1,t,Queen Anne,5,5,t,t,Seattle,WA,98119,US,United States,t,Camper/RV,2,1,1,1,Real Bed,0,45,360,0,150,25,1,0,2,7,t,22,49,49,107,42373,80,06-07-2014,02-01-2016,95,10,10,10,10,9,9,f,0,WASHINGTON,f,strict,t,t,5,4.38
8859380,Queen Anne,300,6,Entire home/apt,3792761,Kimberly,07-10-2012,Seattle,1,1,f,Queen Anne,5,5,t,t,Seattle,WA,98119,US,United States,t,Apartment,6,2,3,3,Real Bed,0,300,0,0,500,125,1,0,2,1125,t,24,54,84,356,42373,6,24-10-2015,02-01-2016,100,10,10,10,10,10,10,f,0,WASHINGTON,t,moderate,f,f,1,2.47
4520099,Queen Anne,80,3,Entire home/apt,6184895,Lana,01-05-2013,Seattle,0.71,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,3,1,1,2,Real Bed,0,80,500,0,0,65,3,50,2,1125,t,0,1,30,305,42373,4,04-01-2015,25-07-2015,85,8,9,7,10,9,9,f,0,WASHINGTON,f,strict,f,f,1,0.33
2481869,Queen Anne,175,4,Entire home/apt,5177328,Andrea,21-02-2013,Seattle,0.98,1,t,Queen Anne,6,6,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,1,1,Real Bed,0,175,1000,3200,0,40,1,0,2,365,t,19,46,62,323,42373,38,01-05-2014,11-10-2015,96,10,10,10,10,10,10,f,0,WASHINGTON,f,strict,t,t,6,1.86
1110749,Queen Anne,325,6,Entire home/apt,5325329,Blair,04-03-2013,Seattle,0.97,1,f,Queen Anne,9,9,t,t,Seattle,WA,98119,US,United States,t,House,6,1.5,3,3,Real Bed,0,325,0,0,500,100,6,60,2,1125,t,23,50,77,162,42373,68,15-06-2013,21-12-2015,92,9,9,10,9,10,9,f,0,WASHINGTON,f,strict,f,f,8,2.18
5978498,Queen Anne,175,4,Entire home/apt,31037494,Silvia,11-04-2015,Seattle,0.6,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,4,3,3,2,Real Bed,0,175,699,2388,200,80,1,0,4,120,t,0,0,9,213,42373,8,06-07-2015,03-12-2015,88,9,9,9,9,10,9,f,0,WASHINGTON,f,flexible,f,f,1,1.31
5021081,Queen Anne,222,7,Entire home/apt,25906186,Vacation,10-01-2015,US,0.71,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,7,3.5,4,3,Real Bed,0,222,1325,4650,500,250,7,75,2,1125,t,0,0,0,2,42373,5,07-08-2015,12-11-2015,75,8,9,8,9,9,8,f,0,WASHINGTON,t,strict,f,f,1,0.99
1686930,Queen Anne,159,4,Entire home/apt,8916363,Paige,18-09-2013,US,1,1,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,Apartment,4,1,2,2,Real Bed,0,159,0,0,250,99,1,0,1,1125,t,11,38,68,309,42373,62,08-10-2013,07-12-2015,97,10,10,10,10,10,9,f,0,WASHINGTON,f,strict,f,f,1,2.27
7680289,Queen Anne,125,4,Entire home/apt,40335071,Kevin,02-08-2015,Kirkland,1,1,f,Queen Anne,2,2,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,1,2,Real Bed,0,125,800,2700,0,50,2,25,2,365,t,30,60,90,353,42373,19,27-08-2015,29-11-2015,95,10,10,10,10,10,10,f,0,WASHINGTON,t,moderate,f,f,2,4.35
7207641,Queen Anne,348,8,Entire home/apt,6544973,Joe & Anna,23-05-2013,Seattle,0.5,0,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,8,3,3,3,Real Bed,0,348,2500,0,750,150,6,20,3,1125,t,0,0,0,153,42373,5,04-08-2015,03-09-2015,96,10,10,10,10,10,9,f,0,WASHINGTON,f,strict,f,f,1,0.97
5062445,Queen Anne,45,1,Private room,21072725,Chris,08-09-2014,Seattle,0.31,1,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,1,1,1,1,Futon,0,45,450,1500,0,0,1,0,1,1125,t,28,58,88,363,42373,7,17-05-2015,08-12-2015,97,9,8,10,10,10,10,f,0,WASHINGTON,f,flexible,f,f,1,0.9
8925878,Queen Anne,150,4,Entire home/apt,40335071,Kevin,02-08-2015,Kirkland,1,1,f,Queen Anne,2,2,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,1,2,Real Bed,0,150,950,2950,0,50,2,25,2,365,t,16,46,76,351,42373,2,25-10-2015,18-12-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,t,moderate,f,f,2,0.83
6389657,Queen Anne,80,2,Entire home/apt,2052160,Ruth,02-04-2012,Seattle,1,1,t,Queen Anne,1,1,t,t,Seattle,WA,98109,US,United States,t,Apartment,2,1,0,1,Real Bed,0,80,0,0,0,20,1,0,3,1125,t,12,38,40,201,42373,11,22-07-2015,19-08-2015,98,10,10,10,10,10,10,f,0,WASHINGTON,f,flexible,f,f,1,1.98
4218733,Queen Anne,110,4,Entire home/apt,21896205,Henry,28-09-2014,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,1,2,Real Bed,0,110,0,0,100,40,2,15,2,1125,t,19,46,76,351,42373,71,09-10-2014,01-01-2016,90,10,8,10,10,10,9,f,0,WASHINGTON,f,moderate,f,f,1,4.7
2715623,Queen Anne,148,3,Entire home/apt,8242272,Debera,18-08-2013,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,3,1,1,2,Real Bed,0,148,0,0,0,100,2,20,3,365,t,0,13,43,310,42373,9,02-06-2014,29-10-2015,91,9,10,9,9,10,10,f,0,WASHINGTON,f,strict,t,t,1,0.46
1392332,Queen Anne,350,4,Entire home/apt,2315558,Holly,07-05-2012,Seattle,0,0,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,4,1.5,2,2,Real Bed,0,350,2100,0,500,100,4,0,2,30,t,0,3,33,308,42373,41,29-07-2013,31-07-2015,98,10,10,10,10,10,9,f,0,WASHINGTON,f,moderate,f,f,1,1.38
7308567,Queen Anne,150,3,Entire home/apt,17597607,Nicole,03-07-2014,Seattle,1,1,t,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,3,1.5,1,2,Real Bed,0,150,0,0,0,50,1,0,2,1125,t,8,34,64,339,42373,18,28-07-2015,31-12-2015,98,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,3.35
6575380,Queen Anne,150,5,Private room,34392395,Sam,27-05-2015,Seattle,0.5,1,f,Queen Anne,1,1,t,t,Seattle,WA,98109,US,United States,t,House,5,1,1,1,Real Bed,0,150,540,1911,0,0,1,0,1,1125,t,0,0,11,285,42373,9,22-08-2015,20-09-2015,100,10,10,9,9,10,10,f,0,WASHINGTON,f,flexible,f,f,1,1.99
6004058,Queen Anne,100,2,Entire home/apt,9031463,Marina,24-09-2013,Seattle,0.5,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,2,1,0,1,Futon,0,100,0,0,0,0,1,0,1,1125,t,28,58,87,87,42373,20,18-04-2015,02-01-2016,92,9,9,9,9,9,9,f,0,WASHINGTON,f,flexible,f,f,1,2.29
9550869,Queen Anne,349,10,Entire home/apt,12867960,Maureen,06-03-2014,Seattle,0.9,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Bungalow,10,3,4,4,Real Bed,0,349,0,0,0,200,1,0,1,1125,t,30,60,90,354,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,strict,f,f,1,0
8515408,Queen Anne,110,2,Entire home/apt,3502513,Jennifer,07-09-2012,US,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Bungalow,2,1,0,1,Real Bed,0,110,700,0,0,50,1,0,2,1125,t,30,60,89,89,42373,3,12-10-2015,31-12-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,1.06
5383192,Queen Anne,160,4,Entire home/apt,27606550,Christine,11-02-2015,Seattle,0,0,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,4,1,1,2,Real Bed,0,160,1140,0,100,55,2,25,2,1125,t,0,0,20,295,42373,1,29-06-2015,29-06-2015,100,8,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,0.16
1112092,Queen Anne,130,4,Entire home/apt,5856339,Annie,10-04-2013,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,4,1,1,3,Real Bed,0,130,1000,2700,140,75,2,25,3,1125,t,30,60,89,89,42373,26,05-05-2013,29-12-2015,95,10,10,9,10,10,9,f,0,WASHINGTON,t,moderate,f,f,1,0.8
7772661,Queen Anne,99,2,Entire home/apt,40885963,Michael,08-08-2015,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,2,1,0,1,Real Bed,0,99,0,0,0,50,2,50,1,1125,t,25,51,81,142,42373,2,20-12-2015,21-12-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,2
9254900,0,100,2,Entire home/apt,27128936,Anisa,02-02-2015,Seattle,1,1,f,0,1,1,t,t,Seattle,WA,98119,US,United States,f,Apartment,2,1,0,1,Real Bed,0,100,0,2000,0,40,1,0,1,1125,t,0,15,29,29,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,flexible,f,f,1,0
7714294,Queen Anne,137,3,Entire home/apt,3521823,Elise,10-09-2012,Seattle,0,0,f,Queen Anne,2,2,t,t,Seattle,WA,98119,US,United States,t,Apartment,3,1,1,1,Futon,0,137,815,0,0,20,2,20,2,1125,t,0,0,28,303,42373,3,18-08-2015,03-09-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,t,moderate,f,f,2,0.64
10310373,Queen Anne,20,3,Private room,53050379,Ana,02-01-2016,Seattle,0,0,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,Apartment,3,1,1,1,Real Bed,0,20,0,0,0,0,1,0,1,1125,t,18,46,76,351,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,flexible,f,f,1,0
9368342,Queen Anne,150,2,Entire home/apt,1039322,Manomi,30-08-2011,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Townhouse,2,1.5,1,1,Real Bed,0,150,0,0,500,50,2,30,4,1125,t,0,0,0,212,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,strict,f,f,1,0
6361863,Queen Anne,145,2,Entire home/apt,25150356,Kurt & Anna,24-12-2014,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Apartment,2,1,1,1,Real Bed,0,145,0,0,100,30,2,10,2,1125,t,15,39,69,331,42373,44,16-05-2015,01-01-2016,94,10,10,10,10,10,9,f,0,WASHINGTON,f,moderate,f,f,1,5.64
8105221,Queen Anne,80,2,Private room,15155647,Shiri,06-05-2014,Seattle,0.7,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,Townhouse,2,1,1,1,Futon,0,80,0,0,0,0,1,0,1,1125,t,30,60,90,364,42373,10,07-09-2015,29-11-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,f,flexible,f,f,1,2.5
3269390,Queen Anne,95,2,Entire home/apt,12171359,Diane,12-02-2014,Seattle,1,1,t,Queen Anne,3,3,t,t,Seattle,WA,98119,US,United States,t,House,2,1,0,1,Real Bed,0,95,0,0,200,60,1,0,3,1125,t,18,32,50,321,42373,77,23-06-2014,28-12-2015,98,10,10,10,10,10,10,f,0,WASHINGTON,t,moderate,f,f,1,4.12
4566393,Queen Anne,400,4,Entire home/apt,23669617,Irmela,12-11-2014,Seattle,0,0,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,4,2.5,3,3,Real Bed,0,400,2100,7500,750,120,4,20,2,1125,t,30,60,90,365,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,moderate,f,f,1,0
9282409,Queen Anne,85,2,Private room,560743,Zachary,05-05-2011,Seattle,1,1,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,2,2,1,1,Real Bed,0,85,450,0,0,0,1,0,2,1125,t,0,0,0,247,42373,2,20-11-2015,12-12-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,1.3
8095168,Queen Anne,70,2,Private room,3521823,Elise,10-09-2012,Seattle,0,0,f,Queen Anne,2,2,t,t,Seattle,WA,98119,US,United States,t,Apartment,2,1,1,1,Futon,0,70,0,0,0,20,1,0,1,1125,t,0,0,0,103,42373,1,08-09-2015,08-09-2015,100,10,10,10,10,10,10,f,0,WASHINGTON,f,flexible,f,f,2,0.25
2746782,Queen Anne,90,2,Entire home/apt,4016632,Jean-Marc,30-10-2012,Seattle,1,1,t,Queen Anne,5,5,t,t,Seattle,WA,98119,US,United States,t,Apartment,2,1,0,1,Real Bed,0,90,540,0,150,25,1,0,2,14,t,18,45,45,103,42373,109,21-04-2014,29-12-2015,97,10,10,10,10,9,10,f,0,WASHINGTON,f,strict,t,t,5,5.24
6424982,Queen Anne,80,2,Private room,33524725,Ruth,16-05-2015,Seattle,1,1,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,2,1,1,1,Real Bed,0,80,0,0,0,0,2,15,1,6,t,29,59,89,345,42373,52,29-05-2015,02-01-2016,92,9,9,10,10,10,9,f,0,WASHINGTON,f,flexible,f,f,1,7.06
762029,Queen Anne,60,2,Private room,4016632,Jean-Marc,30-10-2012,Seattle,1,1,t,Queen Anne,5,5,t,t,Seattle,WA,98119,US,United States,t,Camper/RV,2,1,1,2,Real Bed,0,60,360,0,150,25,2,0,2,7,t,19,44,44,102,42373,191,05-11-2012,01-01-2016,97,10,10,10,10,9,10,f,0,WASHINGTON,f,strict,t,t,5,4.96
8988281,Queen Anne,175,4,Entire home/apt,46954097,Nell & Andreas,19-10-2015,Seattle,0.67,1,f,Queen Anne,1,1,t,f,Seattle,WA,98119,US,United States,t,House,4,1,2,2,Real Bed,0,175,0,0,250,78,4,50,1,15,t,30,48,48,48,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,moderate,f,f,1,0
7077910,0,170,6,Entire home/apt,2843411,Dina,05-07-2012,Seattle,1,1,f,0,1,1,t,t,Seattle,WA,98107,US,United States,f,House,6,2.5,3,4,Real Bed,0,170,1195,3195,250,100,6,100,4,1125,t,23,25,25,27,42373,9,10-08-2015,29-11-2015,91,9,9,10,10,10,9,f,0,WASHINGTON,f,strict,f,f,1,1.82
3772674,Ballard,85,2,Entire home/apt,18232665,Kim,17-07-2014,Seattle,1,1,f,Ballard,1,1,t,t,Seattle,WA,98107,US,United States,t,Apartment,2,1,1,1,Real Bed,0,85,650,0,0,50,2,20,3,1125,t,20,45,75,347,42373,65,28-08-2014,14-12-2015,98,10,10,10,10,10,10,f,0,WASHINGTON,t,moderate,f,f,1,3.94
7021906,Ballard,465,12,Entire home/apt,28770702,Mercy,04-03-2015,Seattle,1,1,t,Ballard,4,4,t,t,Seattle,WA,98107,US,United States,t,House,12,3.5,5,7,Real Bed,0,465,3035,12140,1000,250,1,0,3,1125,t,3,26,46,175,42373,5,18-09-2015,16-12-2015,96,10,10,10,10,10,9,f,0,WASHINGTON,f,strict,f,f,1,1.38
7618605,Ballard,175,2,Entire home/apt,5326074,Mckinzy,04-03-2013,Seattle,1,1,f,Ballard,1,1,t,t,Seattle,WA,98107,US,United States,t,Apartment,2,1,1,1,Real Bed,0,175,0,0,250,50,1,0,1,1125,t,0,0,0,94,42373,5,10-08-2015,01-12-2015,96,10,10,10,10,10,9,f,0,WASHINGTON,f,flexible,f,f,1,1.01
10234558,0,50,2,Private room,31887689,Sophia,25-04-2015,Seattle,1,0,f,0,1,1,t,f,Seattle,WA,98107,US,United States,f,Condominium,2,1,1,1,Real Bed,0,50,0,0,0,0,0,0,1,1125,t,20,50,80,355,42373,0,00-01-1900,00-01-1900,0,0,0,0,0,0,0,f,0,WASHINGTON,f,flexible,f,f,1,0
